,index,est,value,beta,se,bias,variance
839,79,BIPW,-3.1493547735940846,-1.0,47.59782931719358,34.37283758504899,1.0738818852648375
840,80,IPS,-0.03443831478572447,-1.0,14.320181380747258,6.3310531230298315,1.6079334188355847
841,80,SNIPS,-0.6908558115238087,-1.0,19.71909752966481,13.582144156112667,0.5703617540461801
842,80,BIPW,-1.3572044702251802,-1.0,26.081119157525713,34.37283758504899,0.5713357966628224
843,81,IPS,3.8472116860001786,-1.0,0.009496200310144006,6.3310531230298315,6.830940794026221
844,81,SNIPS,2.8017367232969295,-1.0,0.8987542697344624,13.582144156112667,7.493192063254255
845,81,BIPW,-1.3308543578534184,-1.0,25.812675140045428,34.37283758504899,0.6118645163632971
846,82,IPS,-0.01448900154458,-1.0,14.169594911617638,6.3310531230298315,1.5577382141088658
847,82,SNIPS,-0.2795131064680939,-1.0,16.235067847995918,13.582144156112667,0.11825364555665366
848,82,BIPW,-2.5005357685894154,-1.0,39.06623765301178,34.37283758504899,0.15012813398785707
849,83,IPS,7.248061617053259,-1.0,12.238091559387124,6.3310531230298315,36.173690434805216
850,83,SNIPS,5.789882036107203,-1.0,4.1620847165139825,13.582144156112667,32.781520465150386
851,83,BIPW,-2.4661668546111137,-1.0,38.63778689757072,34.37283758504899,0.12467594174024763
852,84,IPS,-0.04134677715948345,-1.0,14.372515135663171,6.3310531230298315,1.6255016024058577
853,84,SNIPS,-0.8345276741203095,-1.0,21.015723153188688,13.582144156112667,0.8080119434337223
854,84,BIPW,-2.3069612281588614,-1.0,36.68391124078753,34.37283758504899,0.03759301378978888
855,85,IPS,-0.0297847406693563,-1.0,14.284982911718956,6.3310531230298315,1.5961532090670185
856,85,SNIPS,-0.5736780904716173,-1.0,18.692144907759214,13.582144156112667,0.40710175628962225
857,85,BIPW,-1.6210711851230826,-1.0,28.845862384482803,34.37283758504899,0.2420648500685952
858,86,IPS,-0.08568437882514326,-1.0,14.710658409897222,6.3310531230298315,1.7405240183926312
859,86,SNIPS,-1.7234307425923776,-1.0,29.955852332764337,13.582144156112667,3.1962213815355254
860,86,BIPW,-2.7511140174657265,-1.0,42.26140507111861,34.37283758504899,0.4070975535068094
861,87,IPS,-0.0253200380117049,-1.0,14.251253729492005,6.3310531230298315,1.5848918250828776
862,87,SNIPS,-0.5122668539857966,-1.0,18.16490049219958,13.582144156112667,0.3325067993164969
863,87,BIPW,-2.411271372766277,-1.0,37.95834745656706,34.37283758504899,0.08892283668680866
864,88,IPS,1.5898311569237673,-1.0,4.665306588379069,6.3310531230298315,0.1268971954886301
865,88,SNIPS,2.6567241586192276,-1.0,1.194734425772709,13.582144156112667,6.720314748807301
866,88,BIPW,-1.3125645813071158,-1.0,25.6271629349357,34.37283758504899,0.640812205853164
867,89,IPS,-0.061195388457470766,-1.0,14.523405641131669,6.3310531230298315,1.6765076075529581
868,89,SNIPS,-1.2349488313503498,-1.0,24.84735439936497,13.582144156112667,1.688222075192128
869,89,BIPW,-1.816200472423017,-1.0,30.979952009039202,34.37283758504899,0.08813273298712483
870,90,IPS,-0.010737598400143596,-1.0,14.141366529278688,6.3310531230298315,1.5483880808806842
871,90,SNIPS,-0.2097463798414891,-1.0,15.67771640189442,13.582144156112667,0.07513823901408932
872,90,BIPW,-2.2287947325872914,-1.0,35.74315538972763,34.37283758504899,0.013391739493595562
873,91,IPS,-0.07358384173798076,-1.0,14.617982880664817,6.3310531230298315,1.708742225373112
874,91,SNIPS,-1.4757048186001667,-1.0,27.305516394864,13.582144156112667,2.3718217346070714
875,91,BIPW,-2.200198611420311,-1.0,35.40204599169781,34.37283758504899,0.007591037876884953
876,92,IPS,-0.011557051747338447,-1.0,14.147530310775052,6.3310531230298315,1.5504281135216522
877,92,SNIPS,-0.22179173514959297,-1.0,15.773248892828274,13.582144156112667,0.08188691983927951
878,92,BIPW,-2.1520080420604026,-1.0,34.830904224431094,34.37283758504899,0.0015160115545739213
879,93,IPS,-0.023172071979098683,-1.0,14.235040841962267,6.3310531230298315,1.5794881831297252
880,93,SNIPS,-0.45901844742675874,-1.0,17.713843262950665,13.582144156112667,0.2739325060707938
881,93,BIPW,-2.4186660189026274,-1.0,38.04951947889719,34.37283758504899,0.09338767443279684
882,94,IPS,-0.052997635299161155,-1.0,14.460990248080662,6.3310531230298315,1.6553459055377029
883,94,SNIPS,-1.0639547801504798,-1.0,23.171881143817767,13.582144156112667,1.2731104265147937
884,94,BIPW,-1.697631978375297,-1.0,29.674114627037607,34.37283758504899,0.1725904522916034
885,95,IPS,-0.018062419541304008,-1.0,14.196510174317083,6.3310531230298315,1.5666709053485939
886,95,SNIPS,-0.3480953477530222,-1.0,16.792444976529655,13.582144156112667,0.17012532976604844
887,95,BIPW,-1.6251971229710285,-1.0,28.890198865876375,34.37283758504899,0.2380219434606279
888,96,IPS,-0.08687608192209907,-1.0,14.71980125965628,6.3310531230298315,1.7436698406224662
889,96,SNIPS,-1.6876639103978661,-1.0,29.56561397781321,13.582144156112667,3.0696129118406277
890,96,BIPW,-2.93717044498049,-1.0,44.71508206050757,34.37283758504899,0.6791381662359047
891,97,IPS,-0.6124307014405049,-1.0,19.02873595219794,6.3310531230298315,3.407847185957675
892,97,SNIPS,-0.7922392793189513,-1.0,20.62978685369845,13.582144156112667,0.7337746115379097
